category,id,parentId
Каталог товаров,2000104,
Лампы,61,2000104
Светодиодные лампы,62,61
Галогенные лампы,64,61
Металлогалогенные лампы,65,61
Люминесцентные лампы,66,61
Лампы с черной колбой,67,61
Настольные лампы,70,61
Светильники для помещений,71,2000104
Встраиваемые светодиодные светильники,72,71
Накладные светодиодные светильники,74,71
Точечные светильники,75,71
Светильники точечные под лампу,76,75
Светильники точечные под лампу с LED подсветкой,78,75
Подвесные светильники,82,71
Светильники подвесные под лампу,3551,82
Подвесные светодиодные светильники,83,82
Трековые светильники на шинопроводе,85,71
Однофазные трековые системы,2179,85
Трековые led светильники однофазные,2180,2179
Трековые светильники под лампу однофазные,2181,2179
Шинопроводы однофазные,2182,2179
Комплектующие к однофазным трекам,2183,2179
Трехфазные трековые системы,2184,85
Трековые led светильники трехфазные,2185,2184
Шинопроводы трехфазные,2186,2184
Комплектующие к трехфазным трекам,2187,2184
Магнитные трековые системы 48V,3525,85
Светодиодные низковольтные трековые магнитные светильники,3526,3525
Шинопроводы для низковольтных трековых магнитных светильников,3527,3525
Трансформаторы для низковольтных трековых магнитных светильников,3528,3525
Комплектующие для низковольтных трековых магнитных светильников,3529,3525
Светодиодные панели АРМСТРОНГ,93,71
Карданные светильники,94,71
Линейные светильники,96,71
Линейные светильники светодиодные,3570,96
Линейные светильники светодиодные IP20,3571,3570
Линейные светильники светодиодные IP65,3572,3570
Линейные светильники под сменную LED лампу,3573,96
Светильники для LED лампы линейные IP20,3574,3573
Светильники для LED лампы линейные IP40,3575,3573
Светильники для LED лампы линейные IP65,3576,3573
Складские светильники,97,71
Светильники для растений (фитосветильники),98,71
Светильники для бань и саун,99,71
Подсветка,100,71
Подсветка для мебели,101,100
Подсветка для зеркал,102,100
Подсветка для ступенек,103,100
Подсветка-Споты,104,100
Портативная подсветка,105,100
Аккумуляторные светильники (аварийные),106,71
Аккумуляторные вывески и светильники,3418,106
Аварийные светильники,3419,106
Светильники-споты,107,71
Светодиодные светильники-споты,108,107
Светильники-споты со сменяемой лампой,109,107
Светильники Грильято,2188,71
Светильники с блоком аварийного питания,3605,71
Ночники,110,71
Уличные светильники,115,2000104
Садово-парковые светильники,116,115
Классические садово-парковые светильники,118,116
Четырехгранные парковые светильники,119,118
Шестигранные парковые светильники,120,118
Восьмигранные парковые светильники,121,118
Пушкинские садово-парковые светильники,122,116
Современные уличные светильники,144,116
Итальянские садово-парковые светильники,2984,116
Уличные светодиодные консольные светильники,148,115
Архитектурные светильники,156,115
Линейные архитектурные светильники,157,156
Архитектурная подсветка фасадов,159,156
Ландшафтные светильники,152,115
Грунтовые светильники,153,152
Венчающие светильники,3481,152
