description,vendorCode,vendor,picture,categoryId,url,price mitc
HK-004 Заглушка с ключом (комплект из 10 шт. в упак.),39929,STEKKER,https://shop.feron.ru/upload/iblock/a54/2zt6r1t8zma9lm7n3l4ldhjts1tg04f4.jpg||,3321,https://shop.feron.ru/catalog/kryuchki_klipsy_stekker/kryuchok_dlya_krepezha_provoda_stekker_nk_003_komplekt_iz_2_kh_par_v_upak__1/,47
"Светильник потолочный встраиваемый FERON 8050LED, с LED подсветкой MR16 G5.3, серебро, круг, 95*95*23 мм, монтажн.отв. 75мм,  одноцветный",28489,FERON,https://shop.feron.ru/upload/iblock/f13/f1338f86618a2531df65bad8208a5056.jpg||,78,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu_s_led_podsvetkoy/svetilnik_vstraivaemyy_s_beloy_led_podsvetkoy_feron_8050_2_potolochnyy_mr16_g5_3_serebristyy/,10
"Светильник потолочный встраиваемый FERON 8060LED, с LED подсветкой MR16 G5.3, серебро, круг, 90*90*23 мм, монтажн.отв. 60мм,  одноцветный",28490,FERON,https://shop.feron.ru/upload/iblock/6fa/6fa9bd313db6ca4e7a187829ed99676c.jpg||https://shop.feron.ru/upload/iblock/193/193eed73e2c19d56a069917489569e67.jpg||,78,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu_s_led_podsvetkoy/svetilnik_vstraivaemyy_s_beloy_led_podsvetkoy_feron_8060_2_potolochnyy_mr16_g5_3_serebristyy/,160
"Светильник потолочный встраиваемый FERON 8150LED, с LED подсветкой MR16 G5.3, серебро, квадрат, 95*95*23 мм, монтажн.отв. 60мм,  одноцветный",28491,FERON,https://shop.feron.ru/upload/iblock/f40/f40a851b451cf5db04b9d8dd06a5b05c.jpg||https://shop.feron.ru/upload/iblock/bf8/bf869501486d19dc825d4606c7e16933.jpg||https://shop.feron.ru/upload/iblock/e81/e8130dba630a3fa12c29b51570d4176e.jpg||,78,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu_s_led_podsvetkoy/svetilnik_vstraivaemyy_s_beloy_led_podsvetkoy_feron_8150_2_potolochnyy_mr16_g5_3_serebristyy/,160
"Светильник потолочный встраиваемый FERON 8170LED, с LED подсветкой MR16 G5.3, прозрачный, квадрат, 91*91*23 мм, монтажн.отв. 60мм,  одноцветный",28492,FERON,https://shop.feron.ru/upload/iblock/e68/e684388c55319bf1f572872f91fd2d10.jpg||,78,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu_s_led_podsvetkoy/svetilnik_vstraivaemyy_s_beloy_led_podsvetkoy_feron_8170_2_potolochnyy_mr16_g5_3_serebristyy/,24
"Светильник потолочный встраиваемый FERON 8080LED, с LED подсветкой MR16 G5.3, прозрачный, круг, 95*95*35 мм, монтажн.отв. 70мм,  одноцветный",28493,FERON,https://shop.feron.ru/upload/iblock/61a/61ace70c8c7dbc14c15d0d52d2fc40db.jpg||https://shop.feron.ru/upload/iblock/030/03081ffacae604647f05228e728b3215.jpg||,78,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu_s_led_podsvetkoy/svetilnik_vstraivaemyy_s_beloy_led_podsvetkoy_feron_8080_2_potolochnyy_mr16_g5_3_serebristyy/,54
"Светильник потолочный встраиваемый (ИВО) FERON 1540, декоративный JCD9 G9, прозрачный, капельные кристаллы, 100*100*60 мм, монтажн.отв. 57мм,  цветок",28423,FERON,https://shop.feron.ru/upload/iblock/834/834b0d60a90b1d38df92826ed134a567.jpg||,76,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu/svetilnik_vstraivaemyy_feron_1540_potolochnyy_jcd9_g9_prozrachnyy/,37
"Светильник потолочный встраиваемый FERON 1540, декоративный JCD9 G9, прозрачный, капельные кристаллы, 100*100*60 мм, монтажн.отв. 57мм,  цветок",28424,FERON,https://shop.feron.ru/upload/iblock/644/6440070db8a7fa8c9f15987fb027ef30.jpg||,76,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu/svetilnik_vstraivaemyy_feron_1540_potolochnyy_jcd9_g9_sirenevyy_prozrachnyy/,54
"Светильник потолочный встраиваемый FERON 1540, декоративный JCD9 G9, прозрачный, капельные кристаллы, 100*100*60 мм, монтажн.отв. 57мм,  цветок",28425,FERON,https://shop.feron.ru/upload/iblock/61a/61ac6a2bf8dc62ee229c42f49a468fca.jpg||,76,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu/svetilnik_vstraivaemyy_feron_1540_potolochnyy_jcd9_g9_korichnevyy_prozrachnyy/,74
"Светильник потолочный встраиваемый FERON 1550, декоративный JCD9 G9, прозрачный, капельные кристаллы, 100*100*60 мм, монтажн.отв. 55мм,  двухрядный",28426,FERON,https://shop.feron.ru/upload/iblock/16f/16f14ba37038c6e36a0e4c26f1c7adad.jpg||,76,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu/svetilnik_vstraivaemyy_feron_1550_potolochnyy_jcd9_g9_sirenevyy_prozrachnyy/,218
"Светильник потолочный встраиваемый (ИВО) FERON 1550, декоративный JCD9 G9, прозрачный, капельные кристаллы, 100*100*60 мм, монтажн.отв. 55мм,  двухрядный",28427,FERON,https://shop.feron.ru/upload/iblock/669/669d7f85b3353bc0ba3787eb03af5f97.jpg||,76,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu/svetilnik_vstraivaemyy_feron_1550_potolochnyy_jcd9_g9_goluboy_prozrachnyy/,37
"Светильник потолочный встраиваемый FERON 1550, декоративный JCD9 G9, прозрачный, капельные кристаллы, 100*100*60 мм, монтажн.отв. 55мм,  двухрядный",28428,FERON,https://shop.feron.ru/upload/iblock/50f/50f786fa94c55ce2f019993b15e99c8b.jpg||,76,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu/svetilnik_vstraivaemyy_feron_1550_potolochnyy_jcd9_g9_prozrachnyy/,14
"Светильник потолочный встраиваемый FERON 1550, декоративный JCD9 G9, прозрачный, капельные кристаллы, 100*100*60 мм, монтажн.отв. 55мм,  двухрядный",28429,FERON,https://shop.feron.ru/upload/iblock/ddd/ddd43cd6cb8bf6606122a48a15cb0875.jpg||https://shop.feron.ru/upload/iblock/d16/d16db9862014d90391696eee67c9db93.jpg||,76,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu/svetilnik_vstraivaemyy_feron_1550_potolochnyy_jcd9_g9_zheltyy_prozrachnyy/,10
"Светильник потолочный встраиваемый FERON 1550, декоративный JCD9 G9, прозрачный, капельные кристаллы, 100*100*60 мм, монтажн.отв. 55мм,  корпус стекло, двухрядный",28430,FERON,https://shop.feron.ru/upload/iblock/d3c/d3c4db220edd3c7efee41f77b341c642.jpg||,76,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu/svetilnik_vstraivaemyy_feron_1550_potolochnyy_jcd9_g9_korichnevyy_prozrachnyy/,107
"Светильник потолочный встраиваемый FERON 1580, декоративный JCD9 G9, прозрачный, капельные кристаллы, 100*100*65 мм, монтажн.отв. 55мм,  цветок",28439,FERON,https://shop.feron.ru/upload/iblock/97d/97d543d5bbd32538a021ccf6c016d0c5.jpg||https://shop.feron.ru/upload/iblock/9a6/9a61508e5ea486d1d757fc344da8a862.jpg||,76,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu/svetilnik_vstraivaemyy_feron_1580_potolochnyy_jc_g4_prozrachnyy/,55
"Светильник потолочный встраиваемый (ИВО) FERON CD2929, под лампу MR16 G5.3, хром, круг, 95*95*55 мм, монтажн.отв. 60мм,  неповоротный",28417,FERON,https://shop.feron.ru/upload/iblock/803/803002c43cee077d3e337d2770f03914.jpg||https://shop.feron.ru/upload/iblock/36b/36bcdadd1b738a865e3ca2a0e699dbad.jpg||,76,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu/svetilnik_vstraivaemyy_feron_cd2929_potolochnyy_mr16_g5_3_prozrachnyy/,3
"Светильник потолочный встраиваемый (ИВО) FERON CD2929, под лампу MR16 G5.3, хром, круг, 95*95*55 мм, монтажн.отв. 60мм,  неповоротный",28418,FERON,https://shop.feron.ru/upload/iblock/a78/a78ee495d98f48e8ece2855ffd8255b0.jpg||,76,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu/svetilnik_vstraivaemyy_feron_cd2929_potolochnyy_mr16_g5_3_korichnevyy_prozrachnyy/,4
"Светильник потолочный встраиваемый (ИВО) FERON CD2929, декоративный MR16 G5.3, желтый, круг, 95*95*55 мм, монтажн.отв. 60мм,  двухрядный",28419,FERON,https://shop.feron.ru/upload/iblock/45c/45ccc123cf57aad8978acc93352c537c.jpg||https://shop.feron.ru/upload/iblock/1e8/1e8aee3905f61eae47212cb755b730b0.jpg||,76,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu/svetilnik_vstraivaemyy_feron_cd2929_potolochnyy_mr16_g5_3_zheltyy_prozrachnyy/,147
"Светильник потолочный встраиваемый FERON CD10M, декоративный MR16 G5.3, белый, круг, 105*105*30 мм, монтажн.отв. 60мм,  корпус керамика, с рисунком",28414,FERON,https://shop.feron.ru/upload/iblock/345/345c464d43fcfddafe4e1646273569f8.jpg||,76,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu/svetilnik_vstraivaemyy_feron_cd10m_potolochnyy_mr16_g5_3_belo_siniy/,107
"Светильник потолочный встраиваемый (ИВО) FERON JD190, под лампу JCD9 G9, прозрачный хром, круг, 82*82*65 мм, монтажн.отв. 60мм,  корпус стекло, неповоротный",28420,FERON,https://shop.feron.ru/upload/iblock/0eb/0eb2db9bea2ab61f70fbe7803ee45fb8.jpg||https://shop.feron.ru/upload/iblock/833/8332b40ce7191416f9d59a5ac070b8ad.jpg||,76,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu/svetilnik_vstraivaemyy_feron_jd190_potolochnyy_jcd9_g9_prozrachnyy_khrom/,52
"Светильник потолочный встраиваемый (ИВО) FERON JD187, декоративный JCD9 G9, хром, полушар, 90*90*65 мм, монтажн.отв. 58мм,  резной",28444,FERON,https://shop.feron.ru/upload/iblock/157/157f43fbe4c2e0a8dc0dd8b0c627e4e5.jpg||,76,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu/svetilnik_vstraivaemyy_feron_jd187_potolochnyy_jcd9_g9_prozrachnyy_khrom/,37
"Светильник потолочный встраиваемый FERON JD187, декоративный JCD9 G9, золото, полушар, 90*90*65 мм, монтажн.отв. 58мм,  резной",28445,FERON,https://shop.feron.ru/upload/iblock/8db/8db3214589e990565fae2429cee60dad.jpg||https://shop.feron.ru/upload/iblock/e75/e75bac94087eb8132f36eb27ff8c0617.jpg||,76,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu/svetilnik_vstraivaemyy_feron_jd187_potolochnyy_jcd9_g9_prozrachno_zolotistyy/,196
"Светильник потолочный встраиваемый FERON C1717, декоративный MR16 G5.3, золото, круг, 109*109*96 мм, монтажн.отв. 65мм,  корпус стекло, на ножках",28398,FERON,https://shop.feron.ru/upload/iblock/61d/61d3ea38f8ccfe2fd9da7a84cf37628b.jpg||https://shop.feron.ru/upload/iblock/37d/37d684b697f7f5c675dc478b31501dd8.jpg||https://shop.feron.ru/upload/iblock/383/383fdaf64494f389342dfc4b640574ac.jpg||,76,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu/svetilnik_vstraivaemyy_feron_c1717_potolochnyy_mr16_g5_3_prozrachno_zolotistyy/,27
"Светильник потолочный встраиваемый FERON C1717, декоративный MR16 G5.3, хром, круг, 109*109*96 мм, монтажн.отв. 65мм,  на ножках",28399,FERON,https://shop.feron.ru/upload/iblock/eea/eea026fc87025a8a3d923ac4b92329a2.jpg||https://shop.feron.ru/upload/iblock/cb7/cb7ab71489f967aea27403359e33858c.jpg||,76,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu/svetilnik_vstraivaemyy_feron_c1717_potolochnyy_mr16_g5_3_prozrachnyy_khrom/,15
"Светильник потолочный встраиваемый FERON 8998-2, декоративный MR16 G5.3, прозрачный, квадрат, 90*90*25 мм, монтажн.отв. 60мм,  с рисунком",28415,FERON,https://shop.feron.ru/upload/iblock/a67/a675f02d43c637847ceae1492a426f4c.jpg||,76,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu/svetilnik_vstraivaemyy_feron_8998_2_potolochnyy_mr16_g5_3_prozrachnyy/,107
"Светильник потолочный встраиваемый FERON 8999-2, декоративный MR16 G5.3, прозрачный, круг, 90*90*25 мм, монтажн.отв. 60мм,  с рисунком",28416,FERON,https://shop.feron.ru/upload/iblock/0b9/0b9f2b936823a51887a4ebb9299d7a63.jpg||https://shop.feron.ru/upload/iblock/3f7/3f75fd50058f49b48797464750e884a6.jpg||,76,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu/svetilnik_vstraivaemyy_feron_8999_2_potolochnyy_mr16_g5_3_prozrachnyy/,37
"Светильник потолочный встраиваемый (ИВО) FERON GS-M364, классика MR16 G5.3, коричневый, круг, 80*80*25 мм, монтажн.отв. 54мм,  с рисунком",28213,FERON,https://shop.feron.ru/upload/iblock/5c3/5c34e078f7945a0fdc5ffd5d2d12e6b0.jpg||,76,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu/svetilnik_vstraivaemyy_feron_gs_m364_potolochnyy_mr16_g5_3_korichnevyy/,22
"Светильник потолочный встраиваемый FERON GS-M369, классика MR16 G5.3, коричневый, круг, 80*80*25 мм, монтажн.отв. 57мм,  с рисунком",28215,FERON,https://shop.feron.ru/upload/iblock/ede/ede1dc3620eb785defc60dce15d9ddd2.jpg||,76,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu/svetilnik_vstraivaemyy_feron_gs_m369_potolochnyy_mr16_g5_3_korichnevyy/,44
"Светильник потолочный встраиваемый FERON DL53, накладной GX53 GX53, хром, круг, 100*100*56 мм, монтажн.отв. 85мм,  под лампу GX53",18899,FERON,https://shop.feron.ru/upload/iblock/684/684260c9e4050c0cc28a533601f835bd.jpg||,76,https://shop.feron.ru/catalog/svetilniki_tochechnye_pod_lampu/svetilnik_11w_230v_gx53_khrom_s_lampoy_dl53/,70
